client_id,Loan Type,Loan Amount,Type of city,Gender,Age,Marital Status,Qualification,Employment,Loan Entity,No. of Loans,Debt,Loan Term,Annual_Income,Defaulting Payment Status,Monthly EMI,Payment_History_Monthly,Intrest Rate (Anual),Debt (Approx Anual Debt Amount),Debt to Income Ratio,Assets,credit_score,Segment
99452,3,1521000,1,1,43,1,3,2,1,1,3,60,3275000,0,25350.0,17379.44,16.94,1369000,0.418015267,1,6.697366205743834,Good
99454,3,1365000,2,1,37,1,1,0,1,0,3,60,919000,0,22750.0,22750.0,17.01,1228000,1.336235038,5,7.08436292742946,Good
99460,0,248000,1,0,28,0,1,2,2,1,2,48,586000,0,5166.7,5166.7,12.9,223000,0.380546075,1,2.096671644996883,Low
99461,0,38000,1,0,37,1,1,0,1,1,1,18,55000,0,2111.1,2111.1,16.81,34000,0.618181818,1,1.3030917607188228,Low
99462,2,191000,3,1,28,2,4,1,0,0,2,36,818000,0,5305.6,5305.6,12.33,172000,0.210268949,2,5.597569987167459,Excellent
99464,1,180000,1,1,39,1,5,1,3,0,2,36,1058000,0,5000.0,5000.0,12.94,162000,0.153119093,4,7.198599923793645,Good
99466,3,492000,2,1,49,2,2,2,1,0,2,48,756000,0,10250.0,10250.0,19.91,443000,0.585978836,0,7.181471671231709,Good
99468,2,51000,3,1,35,0,0,2,0,0,0,18,117000,0,2833.3,2833.3,14.67,46000,0.393162393,2,5.709199471848424,Excellent
99469,0,89000,2,1,41,0,0,2,2,0,0,18,171000,0,4944.4,4944.4,10.74,80000,0.467836257,0,5.902705155282057,Excellent
99470,3,2015000,1,1,33,1,1,1,2,1,2,60,1557000,0,33583.3,33583.3,16.33,1814000,1.165061015,3,7.676753081372668,Good
99472,1,336000,3,0,38,0,1,1,1,0,2,36,800000,0,9333.3,9333.3,18.51,302000,0.3775,4,2.781876688676747,Low
99474,2,437000,3,1,39,0,1,2,2,0,2,48,1139000,0,9104.2,9104.2,18.0,393000,0.345039508,4,7.865590052468384,Good
99477,2,148000,3,0,34,1,4,1,3,0,2,36,653000,1,4111.1,4111.1,13.29,0,0.0,2,5.055307588774911,Excellent
99482,0,166000,1,1,36,1,2,2,3,2,1,48,625000,1,3458.3,3458.3,11.54,149000,0.2384,1,6.5371399194096105,Excellent
99483,0,60000,2,1,41,1,0,2,2,0,0,18,184000,0,3333.3,4717.72,12.62,54000,0.293478261,1,5.997311473485517,Excellent
99485,3,313000,2,1,29,1,0,2,2,0,2,48,447000,0,6520.8,6520.8,11.21,282000,0.630872483,2,7.706719325852736,Good
99486,3,742000,1,0,34,1,1,2,3,0,2,36,1159000,0,20611.1,39448.97,9.04,668000,0.57635893,0,4.6762853415820995,Excellent
99489,3,1068000,1,0,36,1,1,2,3,1,2,36,1925000,0,29666.7,29666.7,9.01,961000,0.499220779,1,4.6939661868891305,Excellent
99490,1,428000,1,0,36,1,3,1,1,1,2,36,1974000,0,11888.9,11888.9,19.68,385000,0.195035461,2,2.062027900206645,Low
99491,3,2273000,1,0,50,2,2,1,3,0,3,60,3271000,0,37883.3,37883.3,12.04,2046000,0.62549679,0,4.920233813617031,Excellent
99492,0,119000,1,0,24,0,5,2,3,3,2,36,583000,0,3305.6,3305.6,11.87,107000,0.183533448,4,3.0178151011899477,Low
99493,3,142000,3,0,42,0,2,1,2,0,2,48,163000,0,2958.3,2958.3,13.77,128000,0.785276074,2,4.686938434258694,Excellent
99496,1,241000,1,1,32,1,3,1,3,1,1,24,1105000,0,10041.7,10041.7,13.19,250000,0.226244344,0,7.215003855043429,Good
99497,3,1806000,2,1,37,0,0,2,1,0,2,60,1133000,0,30100.0,30100.0,16.1,1625000,1.434245366,0,7.063739030681193,Good
99500,0,132000,2,0,43,0,1,2,2,0,2,24,307000,0,5500.0,10622.32,17.38,119000,0.38762215,2,2.7119588356023545,Low
99510,3,1062000,1,1,25,0,3,1,3,0,3,48,1594000,0,22125.0,11516.15,10.81,956000,0.599749059,0,8.319290478281449,Good
99517,0,137000,1,0,34,0,0,2,3,2,2,36,309000,1,3805.6,3805.6,12.54,123000,0.398058252,2,3.053201545959372,Low
99518,2,574000,2,1,52,1,0,2,3,0,1,48,1759000,0,11958.3,11958.3,13.12,517000,0.293916998,5,8.212564929655272,Good
99519,1,485000,1,0,32,0,2,1,2,0,2,48,1107000,0,10104.2,10104.2,13.15,436000,0.393857272,3,2.7123609413366614,Low
99520,3,576000,1,0,42,1,2,2,1,0,1,36,935000,0,16000.0,16000.0,19.67,518000,0.554010695,0,3.2480604488176397,Low
